Country,Region,Population,Area,GDP,Literacy,Location_Initials
Afghanistan,ASIA (EX. NEAR EAST),31056997,647500,700,"36,0",A
Albania,EASTERN EUROPE,3581655,28748,4500,"86,5",A
Algeria,NORTHERN AFRICA,32930091,2381740,6000,"70,0",A
American Samoa,OCEANIA,57794,199,8000,"97,0",A
Andorra,WESTERN EUROPE,71201,468,19000,"100,0",A
Angola,SUB-SAHARAN AFRICA,12127071,1246700,1900,"42,0",A
Anguilla,LATIN AMER. & CARIB,13477,102,8600,"95,0",A
Antigua & Barbuda,LATIN AMER. & CARIB,69108,443,11000,"89,0",A
Argentina,LATIN AMER. & CARIB,39921833,2766890,11200,"97,1",A
Armenia,C.W. OF IND. STATES,2976372,29800,3500,"98,6",A
Aruba,LATIN AMER. & CARIB,71891,193,28000,"97,0",A
Australia,OCEANIA,20264082,7686850,29000,"100,0",A
Austria,WESTERN EUROPE,8192880,83870,30000,"98,0",A
Azerbaijan,C.W. OF IND. STATES,7961619,86600,3400,"97,0",A
"Bahamas, The ",LATIN AMER. & CARIB,303770,13940,16700,"95,6",B
Bahrain,NEAR EAST,698585,665,16900,"89,1",B
Bangladesh,ASIA (EX. NEAR EAST),147365352,144000,1900,"43,1",B
Barbados,LATIN AMER. & CARIB,279912,431,15700,"97,4",B
Belarus,C.W. OF IND. STATES,10293011,207600,6100,"99,6",B
Belgium,WESTERN EUROPE,10379067,30528,29100,"98,0",B
Belize,LATIN AMER. & CARIB,287730,22966,4900,"94,1",B
Benin,SUB-SAHARAN AFRICA,7862944,112620,1100,"40,9",B
Bermuda,NORTHERN AMERICA,65773,53,36000,"98,0",B
Bhutan,ASIA (EX. NEAR EAST),2279723,47000,1300,"42,2",B
Bolivia,LATIN AMER. & CARIB,8989046,1098580,2400,"87,2",B
Bosnia & Herzegovina,EASTERN EUROPE,4498976,51129,6100,,B
Botswana,SUB-SAHARAN AFRICA,1639833,600370,9000,"79,8",B
Brazil,LATIN AMER. & CARIB,188078227,8511965,7600,"86,4",B
British Virgin Is.,LATIN AMER. & CARIB,23098,153,16000,"97,8",B
Brunei,ASIA (EX. NEAR EAST),379444,5770,18600,"93,9",B
Bulgaria,EASTERN EUROPE,7385367,110910,7600,"98,6",B
